Problem:    meetup
   126 x[Szilveszter,9,Sunday]
                    *              0             0             1 
   127 x[Medard,10,Monday]
                    *              0             0             1 
   128 x[Szilveszter,10,Monday]
                    *              0             0             1 
   129 x[Medard,10,Tuesday]
                    *              1             0             1 
   130 x[Szilveszter,10,Tuesday]
                    *              0             0             1 
   131 x[Medard,10,Wednesday]
                    *              1             0             1 
   132 x[Szilveszter,10,Wednesday]
                    *              0             0             1 
   133 x[Medard,10,Thursday]
                    *              0             0             1 
   134 x[Szilveszter,10,Thursday]
                    *              0             0             1 
   135 x[Medard,10,Friday]
                    *              0             0             1 
   136 x[Szilveszter,10,Friday]
                    *              0             0             1 
   137 x[Medard,10,Saturday]
                    *              0             0             1 
   138 x[Szilveszter,10,Saturday]
                    *              1             0             1 
   139 x[Medard,10,Sunday]
                    *              1             0             1 
   140 x[Szilveszter,10,Sunday]
                    *              0             0             1 
   141 x[Medard,11,Monday]
                    *              0             0             1 
   142 x[Szilveszter,11,Monday]
                    *              0             0             1 
   143 x[Medard,11,Tuesday]
                    *              1             0             1 
   144 x[Szilveszter,11,Tuesday]
                    *              0             0             1 
   145 x[Medard,11,Wednesday]
                    *              1             0             1 
   146 x[Szilveszter,11,Wednesday]
                    *              0             0             1 
   147 x[Medard,11,Thursday]
                    *              0             0             1 
   148 x[Szilveszter,11,Thursday]
                    *              0             0             1 
   149 x[Medard,11,Friday]
                    *              0             0             1 
   150 x[Szilveszter,11,Friday]
                    *              0             0             1 
   151 x[Medard,11,Saturday]
                    *              0             0             1 
   152 x[Szilveszter,11,Saturday]
                    *              1             0             1 
   153 x[Medard,11,Sunday]
                    *              0             0             1 
   154 x[Szilveszter,11,Sunday]
                    *              0             0             1 
   155 x[Medard,12,Monday]
                    *              0             0             1 
   156 x[Szilveszter,12,Monday]
                    *              0             0             1 
   157 x[Medard,12,Tuesday]
                    *              1             0             1 
   158 x[Szilveszter,12,Tuesday]
                    *              0             0             1 
   159 x[Medard,12,Wednesday]
                    *              1             0             1 
   160 x[Szilveszter,12,Wednesday]
                    *              0             0             1 
   161 x[Medard,12,Thursday]
                    *              0             0             1 
   162 x[Szilveszter,12,Thursday]
                    *              0             0             1 
   163 x[Medard,12,Friday]
                    *              0             0             1 
   164 x[Szilveszter,12,Friday]
                    *              0             0             1 
   165 x[Medard,12,Saturday]
                    *              0             0             1 
   166 x[Szilveszter,12,Saturday]
                    *              1             0             1 
   167 x[Medard,12,Sunday]
                    *              1             0             1 
   168 x[Szilveszter,12,Sunday]
                    *              0             0             1 
   169 x[Medard,13,Monday]
                    *              0             0             1 
   170 x[Szilveszter,13,Monday]
                    *              0             0             1 
   171 x[Medard,13,Tuesday]
                    *              1             0             1 
   172 x[Szilveszter,13,Tuesday]
                    *              1             0             1 
   173 x[Medard,13,Wednesday]
                    *              1             0             1 
   174 x[Szilveszter,13,Wednesday]
                    *              0             0             1 
   175 x[Medard,13,Thursday]
                    *              0             0             1 
   176 x[Szilveszter,13,Thursday]
                    *              0             0             1 
   177 x[Medard,13,Friday]
                    *              0             0             1 
   178 x[Szilveszter,13,Friday]
                    *              0             0             1 
   179 x[Medard,13,Saturday]
                    *              0             0             1 
   180 x[Szilveszter,13,Saturday]
                    *              0             0             1 
   181 x[Medard,13,Sunday]
                    *              0             0             1 
   182 x[Szilveszter,13,Sunday]
                    *              0             0             1 
   183 reward[1,Monday]
                    *              0             0             1 
   184 reward[1,Tuesday]
                    *              1             0             1 
   185 reward[1,Wednesday]
                    *              1             0             1 
   186 reward[1,Thursday]
                    *              0             0             1 
   187 reward[1,Friday]
                    *              0             0             1 
   188 reward[1,Saturday]
                    *              1             0             1 
   189 reward[1,Sunday]
                    *              0             0             1 
   190 reward[2,Monday]
                    *              0             0             1 
   191 reward[2,Tuesday]
                    *              1             0             1 
   192 reward[2,Wednesday]
                    *              1             0             1 
   193 reward[2,Thursday]
                    *              1             0             1 
   194 reward[2,Friday]
                    *              0             0             1 
   195 reward[2,Saturday]
                    *              0             0             1 
   196 reward[2,Sunday]
                    *              0             0             1 
   197 reward[3,Monday]
                    *              0             0             1 
   198 reward[3,Tuesday]
                    *              1             0             1 
   199 reward[3,Wednesday]
                    *              1             0             1 
   200 reward[3,Thursday]
                    *              0             0             1 
   201 reward[3,Friday]
                    *              0             0             1 
   202 reward[3,Saturday]
                    *              1             0             1 
   203 reward[3,Sunday]
                    *              0             0             1 
   204 reward[4,Monday]
                    *              0             0             1 
   205 reward[4,Tuesday]
                    *              1             0             1 
   206 reward[4,Wednesday]
                    *              1             0             1 
   207 reward[4,Thursday]
                    *              0             0             1 
   208 reward[4,Friday]
                    *              0             0             1 
   209 reward[4,Saturday]
                    *              1             0             1 
   210 reward[4,Sunday]
                    *              1             0             1 
   211 reward[5,Monday]
                    *              0             0             1 
   212 reward[5,Tuesday]
                    *              1             0             1 
   213 reward[5,Wednesday]
                    *              1             0             1 
   214 reward[5,Thursday]
                    *              1             0             1 
   215 reward[5,Friday]
                    *              1             0             1 
   216 reward[5,Saturday]
                    *              1             0             1 
   217 reward[5,Sunday]
                    *              1             0             1 
   218 reward[6,Monday]
                    *              0             0             1 
   219 reward[6,Tuesday]
                    *              1             0             1 
   220 reward[6,Wednesday]
                    *              1             0             1 
   221 reward[6,Thursday]
                    *              0             0             1 
   222 reward[6,Friday]
                    *              0             0             1 
   223 reward[6,Saturday]
                    *              0             0             1 
   224 reward[6,Sunday]
                    *              1             0             1 
   225 reward[7,Monday]
                    *              0             0             1 
   226 reward[7,Tuesday]
                    *              1             0             1 
   227 reward[7,Wednesday]
                    *              1             0             1 
   228 reward[7,Thursday]
                    *              0             0             1 
   229 reward[7,Friday]
                    *              0             0             1 
   230 reward[7,Saturday]
                    *              0             0             1 
   231 reward[7,Sunday]
                    *              0             0             1 
   232 reward[8,Monday]
                    *              0             0             1 
   233 reward[8,Tuesday]
                    *              0             0             1 
   234 reward[8,Wednesday]
                    *              1             0             1 
   235 reward[8,Thursday]
                    *              1             0             1 
   236 reward[8,Friday]
                    *              1             0             1 
   237 reward[8,Saturday]
                    *              1             0             1 
   238 reward[8,Sunday]
                    *              1             0             1 
   239 reward[9,Monday]
                    *              0             0             1 
   240 reward[9,Tuesday]
                    *              1             0             1 
   241 reward[9,Wednesday]
                    *              1             0             1 
   242 reward[9,Thursday]
                    *              0             0             1 
   243 reward[9,Friday]
                    *              0             0             1 
   244 reward[9,Saturday]
                    *              0             0             1 
   245 reward[9,Sunday]
                    *              0             0             1 
   246 reward[10,Monday]
                    *              0             0             1 
   247 reward[10,Tuesday]
                    *              1             0             1 
   248 reward[10,Wednesday]
                    *              1             0             1 
   249 reward[10,Thursday]
                    *              0             0             1 
   250 reward[10,Friday]
                    *              0             0             1 
   251 reward[10,Saturday]
                    *              1             0             1 
   252 reward[10,Sunday]
                    *              1             0             1 
   253 reward[11,Monday]
                    *              0             0             1 
   254 reward[11,Tuesday]
                    *              1             0             1 
   255 reward[11,Wednesday]
                    *              1             0             1 
   256 reward[11,Thursday]
                    *              0             0             1 
   257 reward[11,Friday]
                    *              0             0             1 
   258 reward[11,Saturday]
                    *              1             0             1 
   259 reward[11,Sunday]
                    *              0             0             1 
   260 reward[12,Monday]
                    *              0             0             1 
   261 reward[12,Tuesday]
                    *              1             0             1 
   262 reward[12,Wednesday]
                    *              1             0             1 
   263 reward[12,Thursday]
                    *              0             0             1 
   264 reward[12,Friday]
                    *              0             0             1 
   265 reward[12,Saturday]
                    *              1             0             1 
   266 reward[12,Sunday]
                    *              1             0             1 
   267 reward[13,Monday]
                    *              0             0             1 
   268 reward[13,Tuesday]
                    *              1             0             1 
   269 reward[13,Wednesday]
                    *              1             0             1 
   270 reward[13,Thursday]
                    *              0             0             1 
   271 reward[13,Friday]
                    *              0             0             1 
   272 reward[13,Saturday]
                    *              0             0             1 
   273 reward[13,Sunday]
                    *              0             0             1 
   274 totalCheckin[1,Monday]
                    *              0             0               
   275 totalCheckin[1,Tuesday]
                    *              9             0               
   276 totalCheckin[1,Wednesday]
                    *             15             0               
   277 totalCheckin[1,Thursday]
                    *              0             0               
   278 totalCheckin[1,Friday]
                    *              0             0               
   279 totalCheckin[1,Saturday]
                    *             33             0               
   280 totalCheckin[1,Sunday]
                    *              0             0               
   281 totalCheckin[2,Monday]
                    *              0             0               
   282 totalCheckin[2,Tuesday]
                    *              9             0               
   283 totalCheckin[2,Wednesday]
                    *             23             0               
   284 totalCheckin[2,Thursday]
                    *             23             0               
   285 totalCheckin[2,Friday]
                    *              0             0               
   286 totalCheckin[2,Saturday]
                    *              0             0               
   287 totalCheckin[2,Sunday]
                    *              0             0               
   288 totalCheckin[3,Monday]
                    *              0             0               
   289 totalCheckin[3,Tuesday]
                    *              7             0               
   290 totalCheckin[3,Wednesday]
                    *             27             0               
   291 totalCheckin[3,Thursday]
                    *              0             0               
   292 totalCheckin[3,Friday]
                    *              0             0               
   293 totalCheckin[3,Saturday]
                    *             31             0               
   294 totalCheckin[3,Sunday]
                    *              0             0               
   295 totalCheckin[4,Monday]
                    *              0             0               
   296 totalCheckin[4,Tuesday]
                    *              7             0               
   297 totalCheckin[4,Wednesday]
                    *             11             0               
   298 totalCheckin[4,Thursday]
                    *              0             0               
   299 totalCheckin[4,Friday]
                    *              0             0               
   300 totalCheckin[4,Saturday]
                    *             39             0               
   301 totalCheckin[4,Sunday]
                    *             43             0               
   302 totalCheckin[5,Monday]
                    *              0             0               
   303 totalCheckin[5,Tuesday]
                    *             11             0               
   304 totalCheckin[5,Wednesday]
                    *             13             0               
   305 totalCheckin[5,Thursday]
                    *             13             0               
   306 totalCheckin[5,Friday]
                    *             23             0               
   307 totalCheckin[5,Saturday]
                    *             41             0               
   308 totalCheckin[5,Sunday]
                    *             43             0               
   309 totalCheckin[6,Monday]
                    *              6             0               
   310 totalCheckin[6,Tuesday]
                    *              9             0               
   311 totalCheckin[6,Wednesday]
                    *             17             0               
   312 totalCheckin[6,Thursday]
                    *              0             0               
   313 totalCheckin[6,Friday]
                    *              0             0               
   314 totalCheckin[6,Saturday]
                    *              0             0               
   315 totalCheckin[6,Sunday]
                    *             33             0               
   316 totalCheckin[7,Monday]
                    *             10             0               
   317 totalCheckin[7,Tuesday]
                    *              7             0               
   318 totalCheckin[7,Wednesday]
                    *             11             0               
   319 totalCheckin[7,Thursday]
                    *              0             0               
   320 totalCheckin[7,Friday]
                    *              0             0               
   321 totalCheckin[7,Saturday]
                    *              0             0               
   322 totalCheckin[7,Sunday]
                    *              0             0               
   323 totalCheckin[8,Monday]
                    *              8             0               
   324 totalCheckin[8,Tuesday]
                    *             14             0               
   325 totalCheckin[8,Wednesday]
                    *             13             0               
   326 totalCheckin[8,Thursday]
                    *             17             0               
   327 totalCheckin[8,Friday]
                    *             23             0               
   328 totalCheckin[8,Saturday]
                    *             45             0               
   329 totalCheckin[8,Sunday]
                    *             47             0               
   330 totalCheckin[9,Monday]
                    *              8             0               
   331 totalCheckin[9,Tuesday]
                    *              9             0               
   332 totalCheckin[9,Wednesday]
                    *             25             0               
   333 totalCheckin[9,Thursday]
                    *              0             0               
   334 totalCheckin[9,Friday]
                    *              0             0               
   335 totalCheckin[9,Saturday]
                    *              0             0               
   336 totalCheckin[9,Sunday]
                    *              0             0               
   337 totalCheckin[10,Monday]
                    *              8             0               
   338 totalCheckin[10,Tuesday]
                    *              7             0               
   339 totalCheckin[10,Wednesday]
                    *             17             0               
   340 totalCheckin[10,Thursday]
                    *              0             0               
   341 totalCheckin[10,Friday]
                    *              0             0               
   342 totalCheckin[10,Saturday]
                    *             35             0               
   343 totalCheckin[10,Sunday]
                    *             43             0               
   344 totalCheckin[11,Monday]
                    *             10             0               
   345 totalCheckin[11,Tuesday]
                    *             11             0               
   346 totalCheckin[11,Wednesday]
                    *             15             0               
   347 totalCheckin[11,Thursday]
                    *              0             0               
   348 totalCheckin[11,Friday]
                    *              0             0               
   349 totalCheckin[11,Saturday]
                    *             31             0               
   350 totalCheckin[11,Sunday]
                    *              0             0               
   351 totalCheckin[12,Monday]
                    *              8             0               
   352 totalCheckin[12,Tuesday]
                    *              9             0               
   353 totalCheckin[12,Wednesday]
                    *             21             0               
   354 totalCheckin[12,Thursday]
                    *              0             0               
   355 totalCheckin[12,Friday]
                    *              0             0               
   356 totalCheckin[12,Saturday]
                    *             37             0               
   357 totalCheckin[12,Sunday]
                    *             29             0               
   358 totalCheckin[13,Monday]
                    *              8             0               
   359 totalCheckin[13,Tuesday]
                    *              9             0               
   360 totalCheckin[13,Wednesday]
                    *             21             0               
   361 totalCheckin[13,Thursday]
                    *              0             0               
   362 totalCheckin[13,Friday]
                    *              0             0               
   363 totalCheckin[13,Saturday]
                    *              0             0               
   364 totalCheckin[13,Sunday]
                    *              0             0               
   365 league[Origin]
                    *              0             0             1 
   366 league[Great]
                    *              0             0             1 
   367 league[Master]
                    *              0             0             1 
   368 league[Ultra]
                    *              1             0             1 
   369 league[Legendary]
                    *              0             0             1 

Integer feasibility conditions:

KKT.PE: max.abs.err = 0.00e+00 on row 0
        max.rel.err = 0.00e+00 on row 0
        High quality

KKT.PB: max.abs.err = 0.00e+00 on row 0
        max.rel.err = 0.00e+00 on row 0
        High quality

End of output
